driver_name,GW_MicroServo_001,,,,,,
vendor_id,0x00000616,,,,,,
product_code,0x00001420,,,,,,
revision_num,0x00000100,,,,,,
sto1_code,0,,,,,,
sto2_code,0,,,,,,
driver_break_code,0,,,,,,
SDO1,P2.00,Speed gain,0x2200,1,2147483647,0,FALSE
SDO2,P2.01,Speed integration time constant,0X2201,1,2147483647,0,FALSE
SDO3,P2.02,Position gain,0x2202,1,2147483647,0,FALSE
SDO4,P2.03,Speed detection filter time,0x2203,1,2147483647,0,FALSE
SDO5,P2.04,Torque filter,0x2204,0,2147483647,0,FALSE
SDO6,P2.10,Speed feed-forward gain,0x220A,1,2147483647,0,FALSE
SDO7,P2.11,Speed feed-forward filter time,0X220B,0,2000,0,FALSE
errorcode,0100,errormsg,IGBT故障,solution,,,
errorcode,0101,errormsg,制动管故障,solution,,,
errorcode,0102,errormsg,U相IGBT故障,solution,,,
errorcode,0103,errormsg,V相IGBT故障,solution,,,
errorcode,0104,errormsg,W相IGBT故障,solution,,,
errorcode,0105,errormsg,IPM故障,solution,,,
errorcode,0200,errormsg,编码器故障-编码器断线,solution,,,
errorcode,0201,errormsg,编码器故障-编码器反馈误差过大,solution,,,
errorcode,0202,errormsg,编码器故障-奇偶校验错误,solution,,,
errorcode,0203,errormsg,编码器故障-CRC校验错误,solution,,,
errorcode,0204,errormsg,编码器故障-帧错误,solution,,,
errorcode,0205,errormsg,编码器故障-短帧错误,solution,,,
errorcode,0206,errormsg,编码器故障-编码器报超时,solution,,,
errorcode,0207,errormsg,编码器故障-第2编码超时,solution,,,
errorcode,0208,errormsg,编码器故障-编码器电池低压报警,solution,,,
errorcode,0209,errormsg,编码器故障-编码器电池欠压故障,solution,,,
errorcode,0210,errormsg,编码器故障-编码器过热,solution,,,
errorcode,0211,errormsg,编码器故障-编码器EEPROM无法写入,solution,,,
errorcode,0212,errormsg,编码器故障-编码器EEPROM无数据,solution,,,
errorcode,0213,errormsg,编码器故障-编码器EEPROM数据校验错误,solution,,,
errorcode,0214,errormsg,驱动器短编码器故障-编码器识别错误路,solution,,,
errorcode,0215,errormsg,编码器故障-编码器角度设置错误,solution,,,
errorcode,0300,errormsg,电流传感器故障-U相电流传感器故障,solution,,,
errorcode,0301,errormsg,电流传感器故障-V相电流传感器故障,solution,,,
errorcode,0302,errormsg,电流传感器故障-W相电流传感器故障,solution,,,
errorcode,0400,errormsg,系统初始化故障,solution,,,
errorcode,0500,errormsg,参数设置故障-逆变器型号不存在,solution,,,
errorcode,0501,errormsg,参数设置故障-电机型号不存在,solution,,,
errorcode,0502,errormsg,参数设置故障-电机和驱动器型号不匹配,solution,,,
